clima,temperatura,humedad,viento,juega
lluvioso,frio,normal,si,si
nublado,templado,normal,si,no
soleado,frio,alta,si,no
nublado,calor,normal,si,si
nublado,templado,alta,si,no
lluvioso,calor,normal,si,si
lluvioso,frio,alta,si,no
soleado,templado,normal,no,si
nublado,frio,alta,no,no
soleado,frio,alta,no,si
lluvioso,templado,alta,no,si
lluvioso,calor,normal,si,no
lluvioso,calor,alta,no,si
soleado,templado,normal,si,si
lluvioso,templado,alta,si,si
soleado,calor,alta,si,si
nublado,templado,alta,si,si
soleado,calor,normal,no,si
lluvioso,templado,normal,si,si
soleado,templado,normal,no,si
soleado,frio,alta,si,no
soleado,frio,alta,no,no
nublado,calor,normal,si,no
soleado,frio,alta,no,si
soleado,frio,alta,si,no
nublado,calor,normal,si,si
soleado,calor,normal,no,no
nublado,calor,alta,no,si
nublado,templado,alta,si,si
soleado,frio,normal,no,si
soleado,templado,normal,si,si
lluvioso,frio,alta,no,no
lluvioso,calor,alta,no,si
nublado,templado,alta,si,no
soleado,frio,normal,no,si
soleado,frio,normal,si,si
soleado,templado,normal,si,no
lluvioso,frio,alta,si,si
nublado,frio,alta,si,si
soleado,calor,normal,no,no
soleado,frio,alta,si,si
lluvioso,templado,alta,si,no
lluvioso,calor,alta,no,no
lluvioso,frio,normal,si,si
soleado,templado,alta,no,no
nublado,calor,alta,no,no
lluvioso,frio,alta,si,no
nublado,calor,alta,si,si
lluvioso,frio,alta,si,si
lluvioso,calor,alta,no,no
nublado,frio,alta,no,si
nublado,calor,alta,si,si
nublado,templado,normal,no,no
nublado,frio,alta,no,no
lluvioso,calor,alta,si,si
soleado,calor,alta,si,si
nublado,frio,normal,no,si
lluvioso,templado,normal,no,si
lluvioso,frio,alta,si,si
lluvioso,calor,normal,no,si
soleado,calor,normal,no,no
soleado,calor,normal,si,no
nublado,calor,alta,si,no
lluvioso,frio,alta,si,si
soleado,frio,alta,no,no
nublado,templado,normal,no,no
soleado,frio,alta,si,no
nublado,templado,normal,si,no
soleado,templado,alta,si,no
lluvioso,calor,alta,si,no
soleado,calor,alta,si,si
nublado,templado,normal,si,no
soleado,frio,normal,no,si
nublado,templado,alta,si,no
lluvioso,frio,normal,si,no
lluvioso,frio,normal,no,si
lluvioso,calor,alta,no,no
nublado,frio,alta,no,si
nublado,calor,normal,no,no
nublado,frio,alta,no,no
nublado,templado,alta,si,no
soleado,templado,normal,si,si
nublado,frio,normal,si,si
soleado,frio,alta,no,no
soleado,templado,normal,no,no
nublado,frio,normal,si,no
lluvioso,frio,alta,si,no
nublado,templado,alta,no,no
lluvioso,calor,alta,si,si
lluvioso,calor,normal,si,si
lluvioso,calor,normal,si,no
lluvioso,frio,alta,si,no
lluvioso,frio,normal,si,si
nublado,calor,alta,no,no
lluvioso,templado,normal,si,no
nublado,calor,normal,si,si
soleado,frio,alta,si,si
soleado,templado,alta,si,si
soleado,frio,alta,no,no
nublado,frio,alta,si,si
